Identifier,Name,Description,EstablishedDate,Category,SubCategory,Address1,Village,District,Province,Country,District,Phone,Email,BankInfo
1,Arudpany Girls' Home,,1997,Homes,Children,"New Kalmunai Road (Beach) ,Poonochimunai ,Navatkudah Batticaloa 30000 EP",Navatkudah,Batticalo,Eastern,Sri Lanka,Batticalo,94 65 224-7249,admin@slctrust.org,Name of account: Arudpany Girls' Home Bank: Hatton National Bank Branch: Batticaloa Current account number: 5700001-10076017
2,Mahadeva Swamigal Children Home,,,Homes,Children,Mahadeva Swamigal Children Home,Jeyanthinagar,Killnochchi,Northen,Sri Lanka,Killnochchi,"0726014467, 024 3244334",,
3,Don Bosco Children’s Home – Vavuniya,,,Homes,Children,Don Bosco Children’s Home – Vavuniya,Rambaikulam,Vavuniya,Northen,Sri Lanka,Vavuniya,"0726014467, 024 3244334",metifern@gmail.com,
4,Theva Anpin Children home,,,Homes,Children,Theva Anpin Children home,,Vavuniya,Northen,Sri Lanka,Vavuniya,"024-4921859, 077-4336844",,
5,Ahilandeshwary children home,,,Homes,Children,Ahilandeshwary children home,Kovilkulam,Vavuniya,Northen,Sri Lanka,Vavuniya,024-2221685,,
6,Seth sevana children home,,,Homes,Children,Seth sevana children home,,Vavuniya,Northen,Sri Lanka,Vavuniya,"024-3244071, 024-3241373",,
7,Grace home,,,Homes,Children,Grace home,Velikulam,Vavuniya,Northen,Sri Lanka,Vavuniya,024-4921142,,
8,St. peters Girls home,,,Homes,Children,St. peters Girls home,Kovilkulam,Vavuniya,Northen,Sri Lanka,Vavuniya,024-2222199,,
9,Anparuvi children home,,,Homes,Children,Anparuvi children home,Cheddikulam,Vavuniya,Northen,Sri Lanka,Vavuniya,024-2260912,,
10,Aruppe children home,,,Homes,Children,Aruppe children home,Poovarasankulam,Vavuniya,Northen,Sri Lanka,Vavuniya,"024-4924471, 0244920399",,
11,Salvottorriyan children home ,,,Homes,Children,Salvottorriyan children home ,Cheddikulam,Vavuniya,Northen,Sri Lanka,Vavuniya,077-63996669,,
12,sai children home ,,,Homes,Children,sai children home ,Kumankulam,Vavuniya,Northen,Sri Lanka,Vavuniya,024-2222492,,
13,Hindu Anpakam,,,Homes,Children,Hindu Anpakam,Vepankulam,Vavuniya,Northen,Sri Lanka,Vavuniya,024-2223683,,
14,Lovin home,,,Homes,Children,Lovin home,"Kaneshapuram, ",Vavuniya,Northen,Sri Lanka,Vavuniya,"024-4920320, 077-3020076",,
15,Hearts and Hands home,,,Homes,Children,Hearts and Hands home,"Kaneshapuram, ",Vavuniya,Northen,Sri Lanka,Vavuniya,"024-4920320, 077-3020076",,
